epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,2558.31,1.11316,0.92457,0.01091,0.80263,0.65933,0.73881,0.569,1.24573,1.18749,0.01199,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,2984.81,1.10851,0.92275,0.01085,0.79247,0.66486,0.7396,0.56998,1.24603,1.18556,0.012,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,3409.75,1.09745,0.9086,0.0108,0.79749,0.6636,0.73975,0.57009,1.24494,1.18667,0.012,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,3836.23,1.08743,0.89461,0.01081,0.79635,0.66362,0.74005,0.57053,1.24511,1.18643,0.01199,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,4262.3,1.0847,0.8802,0.01063,0.78149,0.67585,0.74073,0.57111,1.24404,1.18581,0.01199,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,4688.35,1.08066,0.87433,0.01068,0.7726,0.68598,0.74,0.57067,1.2436,1.18585,0.01199,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,5113.31,1.07819,0.86362,0.01051,0.77479,0.68426,0.74097,0.57134,1.2433,1.18662,0.01199,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,5538.94,1.0779,0.85783,0.01042,0.77714,0.683,0.74171,0.57227,1.24242,1.18581,0.01198,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,5965.95,1.07133,0.84927,0.01036,0.77849,0.6829,0.74205,0.57282,1.24148,1.1861,0.01196,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,6392.45,1.05198,0.83162,0.01029,0.80336,0.66287,0.74214,0.57296,1.24111,1.18681,0.01196,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,6818.84,1.06024,0.83459,0.01022,0.77764,0.68208,0.74251,0.57327,1.24037,1.18857,0.01195,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,7245.11,1.04635,0.81969,0.01017,0.77811,0.68433,0.74226,0.57368,1.24126,1.18845,0.01196,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,7671.82,1.04523,0.80679,0.0101,0.77995,0.68506,0.74243,0.57383,1.24107,1.18848,0.01196,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,8097.89,1.03796,0.80752,0.01003,0.78263,0.68339,0.74378,0.57539,1.24022,1.18988,0.01195,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,8523.22,1.02786,0.7947,0.01,0.78195,0.68323,0.74343,0.5752,1.24046,1.19222,0.01195,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,8949.37,1.0256,0.79387,0.00992,0.78391,0.68272,0.74406,0.57604,1.24018,1.19257,0.01195,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
