epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,2807.1,1.19796,1.13576,0.01238,0.77095,0.6189,0.69887,0.52668,1.29354,1.29123,0.01274,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,3241.28,1.20194,1.11962,0.01228,0.77489,0.61708,0.69937,0.52789,1.29427,1.28973,0.01275,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,3586.45,1.19513,1.12704,0.01234,0.77198,0.61819,0.70013,0.52826,1.2935,1.28969,0.01273,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,3951.79,1.19811,1.12261,0.01224,0.77285,0.61969,0.70177,0.52938,1.29261,1.28951,0.01271,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,4381.53,1.20171,1.1176,0.01215,0.78354,0.61056,0.70148,0.52941,1.2929,1.28879,0.01272,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,4803.07,1.19211,1.12967,0.01203,0.77134,0.61874,0.70104,0.52938,1.29251,1.28795,0.0127,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,5223.84,1.17636,1.09772,0.01198,0.77007,0.6207,0.7014,0.52935,1.29275,1.28768,0.01269,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,5604.2,1.19159,1.10201,0.01199,0.77291,0.62076,0.70169,0.52912,1.29074,1.28836,0.01267,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,5950.88,1.17547,1.09264,0.01194,0.76427,0.62483,0.70261,0.52914,1.29039,1.2897,0.01266,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,6293.21,1.17291,1.07564,0.01184,0.79589,0.6113,0.70446,0.53055,1.28943,1.28976,0.01264,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,6631.97,1.173,1.07141,0.01179,0.77549,0.623,0.70404,0.53018,1.28899,1.28949,0.01263,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,7012.06,1.16679,1.0514,0.01185,0.77733,0.62141,0.70413,0.53058,1.28956,1.28882,0.01264,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,7368.63,1.16444,1.04817,0.01175,0.77495,0.62144,0.7029,0.52995,1.28928,1.28815,0.01265,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,7732.24,1.15923,1.03667,0.0116,0.77753,0.62039,0.70323,0.53062,1.28768,1.29057,0.01262,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,8136.86,1.15285,1.03256,0.01156,0.77817,0.61933,0.70304,0.5305,1.28722,1.29204,0.01262,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,8489.52,1.15445,1.01979,0.01161,0.77533,0.61724,0.70094,0.52885,1.28737,1.2959,0.01261,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,8817.36,1.15025,1.02716,0.01154,0.77647,0.61497,0.69843,0.52721,1.28629,1.29961,0.01261,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,9138.54,1.14474,1.01109,0.01138,0.76541,0.61669,0.69641,0.52623,1.28471,1.30675,0.01258,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,9958.86,1.14043,1.01074,0.01138,0.76761,0.60411,0.69245,0.52333,1.28441,1.31402,0.01257,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,10776.2,1.12705,0.98586,0.01128,0.76385,0.59541,0.68861,0.52106,1.28375,1.32106,0.01255,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,11618.7,1.13218,0.98165,0.01124,0.74911,0.58952,0.6838,0.51748,1.284,1.32916,0.01255,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,12494.6,1.12961,0.98142,0.01121,0.71905,0.59628,0.67916,0.51352,1.28424,1.33722,0.01256,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,12808.8,1.1238,0.97875,0.01112,0.67256,0.61973,0.67443,0.50931,1.28453,1.34343,0.01257,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,13123.3,1.13001,0.97191,0.01108,0.66975,0.62271,0.67099,0.50589,1.28338,1.34953,0.01255,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,13439,1.12507,0.96646,0.01105,0.68286,0.61539,0.66845,0.50265,1.28264,1.35246,0.01254,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,13749.8,1.11228,0.97335,0.01106,0.68236,0.62275,0.66758,0.50079,1.28354,1.35124,0.01255,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,14055.2,1.123,0.96607,0.01098,0.69082,0.6283,0.6687,0.50078,1.28349,1.34827,0.01254,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,14366.8,1.11649,0.96003,0.01091,0.7058,0.62641,0.67158,0.50215,1.28381,1.34134,0.01255,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,14678.2,1.10203,0.94078,0.01098,0.7265,0.62244,0.67803,0.50766,1.28398,1.33248,0.01256,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,15000.3,1.11122,0.94965,0.01095,0.74336,0.62472,0.68492,0.51347,1.28419,1.32381,0.01256,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,15311.8,1.10833,0.93917,0.01093,0.75448,0.62488,0.69082,0.51848,1.284,1.31576,0.01256,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,15624.2,1.10569,0.94314,0.01095,0.77367,0.62074,0.69596,0.52329,1.2845,1.3081,0.01257,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
